song_name,album,happy_sad,relationship,feelings_of_self,glass_half_full,stages,tempo,seriousness,future_prospects,feelings_of_male,togetherness,lyrics,spotify_uri,url,description
cold as you,Taylor Swift,-10,-8,-1,-3,-3,-3,-3,-3,-1,-1,"You have a way of coming easily to me
 And when you take, you take the very best of me
 So I start a fight 'cause I need to feel something
 And you do what you want 'cause I'm not what you wanted
 
 Oh, what a shame, what a rainy ending
 Given to a perfect day
 Just walk away, ain't no use defending
 Words that you will never say
 And now that I'm sitting here thinking it through
 I've never been anywhere cold as you
 
 You put up walls and paint them all a shade of gray
 And I stood there loving you and wished them all away
 And you come away with a great little story
 Of a mess of a dreamer with the nerve to adore you
 
 Oh, what a shame, what a rainy ending
 Given to a perfect day
 So just walk away, ain't no use defending
 Words that you will never say
 And now that I'm sitting here thinking it through
 I've never been anywhere cold as you
   
 You never did give a damn thing, honey
 But I cried, cried for you
 And I know you wouldn't have told nobody
 If I died, died for you, died for you
 
 Oh, what a shame, what a rainy ending
 Given to a perfect day, oh
 Every smile you fake is so condescending
 Counting all the scars you made
 And now that I'm sitting here thinking it through
 I've never been anywhere cold as you
 Ooh-oh ",7an1exwMnfYRcdVQm0yDev,https://open.spotify.com/track/7an1exwMnfYRcdVQm0yDev,"This song depicts the deep hurt and disappointment in a one-sided relationship, with the speaker expressing their pain from giving their all to someone who doesn't appreciate their worth."
i'm only me when i'm with you,Taylor Swift,9,10,3,3,1,2,2,2,3,3,"Friday night beneath the stars
 In a field behind your yard
 You and I are painting pictures in the sky
 And sometimes, we don't say a thing
 Just listen to the crickets sing
 Everything I need is right here by my side
 
 And I know everything about you
 I don't wanna live without you
 
 I'm only up when you're not down
 Don't wanna fly if you're still on the ground
 It's like no matter what I do
 Well, you drive me crazy half the time
 The other half, I'm only tryin' to
 Let you know that what I feel is true
 And I'm only me when I'm with you
 
 Just a small-town boy and girl
 Livin' in a crazy world
 Tryna figure out what is and isn't true
 And I don't try to hide my tears
 My secrets or my deepest fears
 Through it all, nobody gets me like you do
   
 And you know everything about me
 You say that you can't live without me
 
 I'm only up when you're not down
 Don't wanna fly if you're still on the ground
 It's like no matter what I do
 Well, you drive me crazy half the time
 The other half, I'm only tryin' to
 Let you know that what I feel is true
 And I'm only me when I'm with you
 
 When I'm with anybody else
 It's so hard to be myself
 And only you can tell
 
 That I'm only up when you're not down
 Don't wanna fly if you're still on the ground
 It's like no matter what I do
 Well, you drive me crazy half the time
 The other half, I'm only tryin' to
 Let you know that what I feel is true
 And I'm only me
 Who I wanna be
 Well, I'm only me when I'm with you
 With you
 Uh-huh-huh, yeah ",0JIdBrXGSJXS72zjF9ss9u,https://open.spotify.com/track/0JIdBrXGSJXS72zjF9ss9u,"This song expresses deep affection and connection between two people, emphasizing the sense of wholeness and authenticity the speaker feels when they're together, and the longing for that connection when they're apart."
invisible,Taylor Swift,-1,-4,0,-2,1,0,0,0,-1,-3,"She can't see the way your eyes
 Light up when you smile
 She'll never notice how you stop and stare
 Whenever she walks by
 
 And you can't see me wanting you the way you want her
 But you are everything to me
 
 And I just wanna show you
 She don't even know you
 She's never gonna love you like I want to
 And you just see right through me
 But if you only knew me
 We could be a beautiful miracle, unbelievable
 Instead of just invisible
 
 Oh, yeah, oh
 
 There's a fire inside of you
 That can't help but shine through
 She's never gonna see the light
 No matter what you do
   
 And all I think about is how to make you think of me
 And everything that we could be
 
 And I just wanna show you
 She don't even know you
 She's never gonna love you like I want to
 And you just see right through me
 But if you only knew me
 We could be a beautiful miracle, unbelievable
 Instead of just invisible
 
 Like shadows in a faded light
 Oh, we're invisible
 I just wanna open your eyes
 And make you realize
 
 I just wanna show you
 She don't even know you
 Baby, let me love you, let me want you
 You just see right through me
 But if you only knew me
 We could be a beautiful miracle, unbelievable
 Instead of just invisible
 Oh, yeah
 
 She can't see the way your eyes
 Light up when you smile ",5OOd01o2YS1QFwdpVLds3r,https://open.spotify.com/track/5OOd01o2YS1QFwdpVLds3r,"This song portrays unrequited love and longing, as the speaker tries to show someone that they are more deserving of love and affection than the person they're with, expressing the wish for the other to see their true potential and be together."
mary's song,Taylor Swift,5,12,0,2,1,2,3,3,3,3,"She said I was seven and you were nine
 I looked at you like the stars that shined
 In the sky, the pretty lights
 And our daddies used to joke about the two of us
 Growing up and falling in love
 And our mamas smiled and rolled their eyes
 And said, ""Oh, my, my, my""
 
 Take me back to the house in the backyard tree
 Said you'd beat me up, you were bigger than me
 You never did, you never did
 Take me back when our world was one block wide
 I dared you to kiss me and ran when you tried
 Just two kids, you and I
 Oh, my, my, my, my
 
 Well, I was sixteen when suddenly
 I wasn't that little girl you used to see
 But your eyes still shined like pretty lights
 And our daddies used to joke about the two of us
 They never believed we'd really fall in love
 And our mamas smiled and rolled their eyes
 And said, ""Oh, my, my, my""
   
 Take me back to the creek beds we turned up
 2 AM riding in your truck
 And all I need is you next to me
 Take me back to the time we had our very first fight
 The slamming of doors 'stead of kissing goodnight
 You stayed outside 'til the morning light
 Oh, my, my, my, my
 
 A few years had gone and come around
 We were sitting at our favorite spot in town
 And you looked at me, got down on one knee
 
 Take me back to the time when we walked down the aisle
 Our whole town came and our mamas cried
 You said, ""I do,"" and I did, too
 Take me home where we met so many years before
 We'll rock our babies on that very front porch
 After all this time, you and I
 
 And I'll be eighty-seven, you'll be eighty-nine
 I'll still look at you like the stars that shine
 In the sky, oh, my, my, my ",2QrQCMel6v2JiLxqrg4p2O,https://open.spotify.com/track/2QrQCMel6v2JiLxqrg4p2O,"This song is a nostalgic journey through a lifelong romance, reminiscing about childhood memories, first love, fights, marriage, and growing old together, emphasizing the enduring bond between two people."
our song,Taylor Swift,5,6,2,2,1,0,1,1,3,1,"I was ridin' shotgun with my hair undone
 In the front seat of his car
 He's got a one-hand feel on the steering wheel
 The other on my heart
 I look around, turn the radio down
 He says, ""Baby, is something wrong?""
 I say, ""Nothin', I was just thinkin'
 How we don't have a song""
 And he says
 
 Our song is a slamming screen door
 Sneakin' out late, tapping on your window
 When we're on the phone and you talk real slow
 'Cause it's late and your mama don't know
 Our song is the way you laugh
 The first date, ""Man, I didn't kiss her and I should have""
 And when I got home, 'fore I said, ""Amen""
 Askin' God if he could play it again
 
 I was walking up the front porch steps
 After everything that day
 Had gone all wrong and been trampled on
 And lost and thrown away
 Got to the hallway, well on my way to my lovin' bed
 I almost didn't notice all the roses
 And the note that said
   
 Our song is a slamming screen door
 Sneakin' out late, tapping on your window
 When we're on the phone and you talk real slow
 'Cause it's late and your mama don't know
 Our song is the way you laugh
 The first date, ""Man, I didn't kiss her and I should have""
 And when I got home, 'fore I said, ""Amen""
 Askin' God if he could play it again
 
 Da-da-da-da
 
 I've heard every album, listened to the radio
 Waited for somethin' to come along
 That was as good as our song
 
 'Cause our song is a slamming screen door
 Sneakin' out late, tapping on his window
 When we're on the phone and he talks real slow
 'Cause it's late and his mama don't know
 Our song is the way he laughs
 The first date, ""Man, I didn't kiss him and I should have""
 And when I got home, 'fore I said, ""Amen""
 Askin' God if he could play it again
 Play it again, oh yeah
 Oh-oh, yeah
 
 I was ridin' shotgun with my hair undone
 In the front seat of his car
 I grabbed a pen and an old napkin
 And I wrote down our song ",15DeqWWQB4dcEWzJg15VrN,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,"This song portrays the unique and cherished memories of a relationship, using unconventional symbols like a 'slamming screen door' and 'the way he laughs' to represent their song, emphasizing the personal connection between the couple."
the outside,Taylor Swift,-5,-2,-2,-3,-2,2,0,0,0,-2,"I didn't know what I would find
 When I went looking for a reason, I know
 I didn't read between the lines
 And, baby, I've got nowhere to go
 
 I tried to take the road less traveled by
 But nothing seems to work the first few times
 Am I right?
 
 So how can I ever try to be better?
 Nobody ever lets me in
 I can still see you, this ain't the best view
 On the outside looking in
 I've been a lot of lonely places
 I've never been on the outside
 
 You saw me there, but never knew
 That I would give it all up to be
 A part of this, a part of you
 And now, it's all too late, so you see
 
 You could've helped if you had wanted to
 But no one notices until it's too late to do anything
   
 How can I ever try to be better?
 Nobody ever lets me in
 I can still see you, this ain't the best view
 On the outside looking in
 I've been a lot of lonely places
 I've never been on the outside
 
 Oh, yeah
 
 How can I ever try to be better?
 Nobody ever lets me in
 And I can still see you, this ain't the best view
 On the outside looking in
 I've been a lot of lonely places
 I've never been on the outside
 
 Oh-oh
 Oh, oh-oh
 Oh-oh
 Oh-oh ",2QA3IixpRcKyOdG7XDzRgv,https://open.spotify.com/track/2QA3IixpRcKyOdG7XDzRgv,"This song expresses feelings of loneliness, isolation, and longing, as the speaker tries to break through barriers to connect with someone they admire, but ultimately feels excluded and unnoticed."
a perfectly good heart,Taylor Swift,-4,-8,-2,-3,-1,2,-2,-2,-2,-2,"Why would you wanna break
 A perfectly good heart?
 Why would you wanna take
 Our love and tear it all apart now?
 Why would you wanna make
 The very first scar?
 Why would you wanna break
 A perfectly good heart?
 
 Maybe I should've seen the signs
 Should've read the writing on the wall
 And realized by the distance in your eyes
 That I would be the one to fall
 
 No matter what you say
 I still can't believe that you would walk away
 It don't make sense to me, but
 
 Why would you wanna break
 A perfectly good heart?
 Why would you wanna take
 Our love and tear it all apart now?
 Why would you wanna make
 The very first scar?
 Why would you wanna break
 A perfectly good heart?
   
 It's not unbroken anymore (It's not unbroken anymore)
 How do I get it back the way it was before?
 
 Why would you wanna break
 A perfectly good heart?
 Why would you wanna take
 Our love and tear it all apart now?
 Why would you wanna make
 The very first scar?
 Why would you wanna break—
 (Why) Would you wanna break it?
 
 Why would you wanna break
 A perfectly good heart?
 Why would you wanna take
 Our love and tear it all apart now?
 Why would you wanna make
 The very first scar?
 Why would you wanna break
 A perfectly good heart?
 
 Mmm-hmm ",1spLfUJxtyVyiKKTegQ2r4,https://open.spotify.com/track/1spLfUJxtyVyiKKTegQ2r4,"This song depicts the speaker's disbelief and sadness over a sudden breakup, questioning the reasons for the end of the relationship and longing to restore the love that has been torn apart."
picture to burn,Taylor Swift,4,-9,3,1,-3,3,-3,-3,0,-3,"State the obvious, I didn't get my perfect fantasy
 I realize you love yourself more than you could ever love me
 So go and tell your friends that I'm obsessive and crazy
 That's fine, you won't mind if I say
 By the way
 
 I hate that stupid old pickup truck you never let me drive
 You're a redneck heartbreak who's really bad at lyin'
 So watch me strike a match on all my wasted time
 As far as I'm concerned, you're just another picture to burn
 
 There's no time for tears, I'm just sittin' here planning my revenge
 There's nothing stoppin' me from goin' out with all of your best friends
 And if you come around sayin' sorry to me
 My daddy's gonna show ya how sorry you'll be
 
 'Cause I hate that stupid old pickup truck you never let me drive
 You're a redneck heartbreak who's really bad at lyin'
 So watch me strike a match on all my wasted time
 As far as I'm concerned, you're just another picture to burn
 
 And if you're missing me, you'd better keep it to yourself
 'Cause coming back around here would be bad for your health
   
 'Cause I hate that stupid old pickup truck you never let me drive
 You're a redneck heartbreak who's really bad at lyin'
 So watch me strike a match on all my wasted time
 In case you haven't heard
 I really, really hate that stupid old pickup truck you never let me drive
 You're a redneck heartbreak who's really bad at lyin'
 So watch me strike a match on all my wasted time
 As far as I'm concerned, you're just another picture to burn
 
 Burn, burn, burn, baby, burn
 You're just another picture to burn
 Baby, burn ",32mVHdy0bi1XKgr0ajsBlG,https://open.spotify.com/track/32mVHdy0bi1XKgr0ajsBlG,"This song conveys feelings of anger, betrayal, and revenge after a breakup, as the speaker expresses her frustration with her ex's deceit, and plans to move on by enjoying time with his friends and symbolically burning memories of their past."
a place in this world,Taylor Swift,2,-2,1,0,1,0,0,0,0,-2,"I don't know what I want, so don't ask me
 'Cause I'm still trying to figure it out
 Don't know what's down this road, I'm just walking
 Trying to see through the rain coming down
 Even though I'm not the only one
 Who feels the way I do
 
 I'm alone, on my own, and that's all I know
 I'll be strong, I'll be wrong, oh, but life goes on
 Oh, I'm just a girl trying to find a place in this world
 
 Got the radio on, my old blue jeans
 And I'm wearing my heart on my sleeve
 Feeling lucky today, got the sunshine
 Could you tell me what more do I need?
 And tomorrow's just a mystery, oh, yeah
 But that's okay
 
 I'm alone, on my own, and that's all I know
 I'll be strong, I'll be wrong, oh, but life goes on
 Oh, I'm just a girl trying to find a place in this world
   
 Maybe I'm just a girl on a mission
 But I'm ready to fly
 
 I'm alone, on my own, and that's all I know
 I'll be strong, I'll be wrong, oh, but life goes on
 Oh, I'm alone, on my own, and that's all I know
 Oh, I'm just a girl trying to find a place in this world
 
 Oh, I'm just a girl
 Oh, I'm just a girl, oh, oh
 Oh, I'm just a girl ",73OX8GdpOeGzKC6OvGSbsv,https://open.spotify.com/track/73OX8GdpOeGzKC6OvGSbsv,"This song reflects a young woman's journey of self-discovery, as she navigates through life's challenges, embracing her independence, and seeking her place in the world."
should've said no,Taylor Swift,-5,-6,0,-2,-3,0,-2,-3,2,-3,"It's strange to think the songs we used to sing
 The smiles, the flowers, everything is gone
 Yesterday, I found out about you
 Even now, just lookin' at you feels wrong
 
 You say that you'd take it all back
 Given one chance
 It was a moment of weakness
 And you said yes
 
 You should've said no, you should've gone home
 You should've thought twice 'fore you let it all go
 You should've known that word
 'Bout what you did with her'd get back to me (Get back to me)
 And I should've been there in the back of your mind
 I shouldn't be asking myself why
 You shouldn't be begging for forgiveness at my feet
 You should've said no
 Baby, and you might still have me
 
 You can see that I've been cryin'
 And baby, you know all the right things to say
 But do you honestly expect me to believe
 We could ever be the same?
   
 You say that the past is the past
 You need one chance
 It was a moment of weakness
 And you said yes
 
 You should've said no, you should've gone home
 You should've thought twice 'fore you let it all go
 You should've known that word
 'Bout what you did with her’d get back to me (Get back to me)
 And I should've been there in the back of your mind
 I shouldn't be asking myself why
 You shouldn't be begging for forgiveness at my feet
 You should've said no
 Baby, and you might still have me
 Oh, oh
 
 I can't resist
 Before you go, tell me this
 Was it worth it?
 Was she worth this?
 No, no
 No, no, no, no
 You should've said no, you should've gone home
 You should've thought twice 'fore you let it all go
 You should've known that word
 'Bout what you did with her’d get back to me (Get back to me)
 And I should've been there, in the back of your mind
 I shouldn't be asking myself why
 You shouldn't be begging for forgiveness at my feet
 You should've said no
 Baby, and you might still have me ",16MVSD0mGI4RMQT83Qzm69,https://open.spotify.com/track/16MVSD0mGI4RMQT83Qzm69,"This song conveys the pain and regret after a partner's infidelity, as the speaker expresses remorse for not stopping it, questioning the reasons for the betrayal, and longing for a chance to undo the past."
