text,anger,fear,joy,sadness
 I can't guess if you holding a grudge against the best',0.425,0.0,0.0,0.0
"# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news",0.0,0.729,0.0,0.0
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,0.0,0.729,0.0,0.0
#Always #borrow #money from a #pessimist. He won't #expect it #back.,0.0,0.0,0.0,0.354
"#America finding #gratitude amidst the sadness and frustration about race, #fear, anger and #racism, i remain hopeful _ i'm an earth fixer'",0.0,0.583,0.0,0.0
#Anger or #wrath is an intense emotional response.,0.562,0.0,0.0,0.0
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape,0.0,0.771,0.0,0.0
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,0.0,0.854,0.0,0.0
"#Arts create richness &amp; liveliness in our society, continues through educational &amp; social benefits, and only ends with the economic",0.0,0.0,0.417,0.0
"#AskAMan but this does not sound like a #serious issue, cause siyahleka the whole time, just having fun",0.0,0.0,0.0,0.292
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,0.312,0.0,0.0,0.0
#BB18 Michelle crying  again #shocking #bitter He's  just not that into you ðŸ˜¢#TeamNicole,0.0,0.521,0.0,0.0
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",0.0,0.0,0.922,0.0
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark",0.0,0.0,0.788,0.0
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",0.0,0.542,0.0,0.0
"#Charlotte's #young &amp; #restless; I applaud ur fire bt always b respectful of authority, police, elders, parents. Violence, not the way ðŸ™ðŸ½âœŒðŸ½ï¸",0.0,0.438,0.0,0.0
#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy ,0.0,0.0,0.688,0.0
#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,0.0,0.0,0.72,0.0
"#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen",0.5,0.0,0.0,0.0
#Everything you've ever wanted awaits you on the other side of #fear . #IfIWasTheOppositeSex #AskAMan,0.0,0.479,0.0,0.0
"#FF @ElizaNealsRocks Love &amp; support, always!! Eliza Neals ROCKS!! #blues #music #friends ðŸ˜ŽðŸŽ¸",0.0,0.0,0.0,0.125
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx ðŸŽ¶ xX,0.0,0.0,0.0,0.25
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. ",0.0,0.0,0.583,0.0
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",0.0,0.0,0.46,0.0
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic ,0.0,0.424,0.0,0.0
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,0.0,0.479,0.0,0.0
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,0.0,0.169,0.0,0.0
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,0.521,0.0,0.0,0.0
#India is sponsoring terrorism in #Balochistan. #KulbhushanYadav an Indian spy agent was arrested in Balochistan by Pakistani forces.,0.0,0.66,0.0,0.0
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of ,0.0,0.479,0.0,0.0
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,0.0,0.742,0.0,0.0
"#Jazz - the #blues is the roots, the rest is the fruits",0.0,0.0,0.0,0.25
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence  #libtard #biasedmedia #neverHillary,0.0,0.0,0.231,0.0
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence #hilarity #libtard #biasedmedia #neverHillary,0.0,0.0,0.5,0.0
#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar,0.0,0.583,0.0,0.0
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,0.543,0.0,0.0,0.0
#NawazSharif confesses that #Pakistan  supports #terror at #unga\n#BurhanWani,0.0,0.625,0.0,0.0
"#NawazSharif says lets end #terror. Sure, let #IndianArmedForces target the bases without #Pakistan interference #Karma?",0.0,0.554,0.0,0.0
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,0.0,0.59,0.0,0.0
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",0.0,0.854,0.0,0.0
#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.,0.0,0.0,0.227,0.0
#Partners are willing to #walk alongside you without being #intimidated by you. #WhoIsIT #Part2 #RelationShift #CLifeMacon,0.0,0.417,0.0,0.0
#PeopleLikeMeBecause of some unknown reason but I try to discourage it,0.0,0.0,0.0,0.278
"#RIP30 Heaven is rejoicing because they've gained an angel, the Keifer family are in my prayers ðŸ’™ðŸ™",0.0,0.0,0.396,0.0
