criterion,score,description,example
feelings_of_self,-3,Feels fully responsible for problems,"""Stupid girl / I should have known / I should have known"" (White Horse )"
feelings_of_self,-2,Feels partial responsibility for problems ,“No one teaches you what to do / When a good man hurts you / And you know you hurt him too” (happiness)
feelings_of_self,-1,Hints at self-deprecation ,"“Maybe we got lost in translation, maybe I asked for too much” (All Too Well)"
feelings_of_self,0,No feelings mentioned/ambiguous feelings ,(Blank Space)
feelings_of_self,1,Overall positive with serious insecurities ,“You have pointed out my flaws again / As if I don’t already see them / I walk with my head down / Trying to block you out ’cause I’ll never impress you” (Mean)
feelings_of_self,2,"Overall positive with some reservations","“20 questions, we tell the truth / You’ve been stressed out lately, yeah, me too” (It’s Nice To Have A Friend)"
feelings_of_self,3,Secure and trusting in life circumstances ,“And we see you over there on the internet / Comparing all the girls who are killing it / But we figured you out / We all know now / We all got crowns” (You Need To Calm Down)
glass_half_full,-3,All imagery is depressing ,"“And then the cold came, the dark days when fear crept into my mind” (Back To December)"
glass_half_full,-2,Nearly all depressing imagery ,"“How you laugh when you lie / You said the gun was mine / Isn’t cool, no I don’t like you / But I got smarter, I got harder” (Look What You Made Me Do)"
glass_half_full,-1,Majority depressing imagery,“Stealing hearts and running off and never saying sorry / But if I’m a thief then / He can join the heist” (...Ready For It?)
glass_half_full,0,Equal amounts of happy and sad imagery ,“Rain came pouring down when I was drowning / That’s when I could finally breathe” (Clean)
glass_half_full,1,Majority positive imagery,"“We’re happy, free, confused, and lonely in the best way / It’s miserable and magical” (22)"
glass_half_full,2,Nearly all positive imagery,"“This love is difficult, but it’s real / Don’t be afraid, we’ll make it out of this mess / It’s a love story, baby just say yes” (Love Story) "
glass_half_full,3,All imagery is positive ,"“And all I feel in my stomach is butterflies / The beautiful kind, making up for lost time” (Everything Has Changed) "
stages,-3,Anger / Depression,"“Soon she’s gonna find / Stealing other people’s toys / On the playground won’t make you many friends” (Better Than Revenge) 
He’s the reason for the teardrops on my guitar” (Teardrops On My Guitar )"
stages,-2,Bargaining,"“If it’s all in my head, tell me now / Tell me I’ve got it wrong somehow” (tolerate it)"
stages,-1,Denial,“We found wonderland / You and I got lost in it / And we pretended it could last forever” (Wonderland)
stages,0,Acceptance,“And all the pieces fall / Right into place / ... / So it goes” (So It Goes...)
stages,1,Passively wanting to be happy ,“I wish you would come back / Wish I never hung up the phone like I did” (I Wish You Would)
stages,2,Actively working for her happiness ,“Drop everything now / Meet me in the pouring rain / Kiss me on the sidewalk / Take away the pain” (Sparks Fly)
stages,3,Actively working for her own and others’ happiness,“I’ll fight their doubt and give you faith / With this song for you” (Ours ) 
seriousness,-3,Cataclysmic past offenses ,“It rains when you’re here and it rains when you’re gone / ’Cause I was there when you said forever and always / You didn’t mean it baby” (Forever & Always)
seriousness,-2,Some past hurt feelings ,"“X marks the spot where we fell apart / He poisoned the well, I was lying to myself” (Getaway Car)"
seriousness,-1,Unspecified relationship endings ,“And what once was ours is no one’s now” (Death By A Thousand Cuts )
seriousness,0,Not discussed/Pining,“Please don’t be in love with someone else / Please don’t have somebody waiting on you” (Enchanted)
seriousness,1,Puppy love/One night stand ,“With all those nights we’re spending / Up on the roof with a school girl crush” (King Of My Heart)
seriousness,2,Some real world things to discuss ,“But you start to talk about the movies that your family watches / Every single Christmas and I want to talk about that” (Begin Again) 
seriousness,3,Discussion of marriage/equally serious topics,"“And you know that I’d swing with you for the fences / Sit with you in the trenches / Give you my wild, give you a child” (peace) "
future_prospects,-3,Permanent end to communication ,"“This time, I’m telling you / We are never, ever, ever getting back together” (We Are Never Getting Back Together)"
future_prospects,-2,Significant decrease in contact ,“Say you’ll see me again / Even if it’s just pretend” (Wildest Dreams) 
future_prospects,-1,Possible decrease in contact ,"“Guess I’ll just stumble on home to my cats / Alone, unless you want to come along” (Gorgeous)"
future_prospects,0,No discussion of future/Ambiguous ,“This love is alive back from the dead / These hands had to let it go free but / This love came back to me” (This Love)
